artist,albumName,folderLink
Daft Punk,Random Access Memories,https://raw.githubusercontent.com/shirelyM/swampCraft/dev/musicCraft/daftPunk/randomAccessMemories/
,,
trackNumber,title,fileName
1,Give Life Back to Music,Give Life Back to Music.dfpwm
2,The Game of Love,The Game of Love.dfpwm
3,Giorgio by Moroder,Giorgio by Moroder.dfpwm
4,Within,Within.dfpwm
5,Instant Crush,Instant Crush (feat. Julian Casablancas).dfpwm
6,Lose Yourself to Dance,Lose Yourself to Dance (feat. Pharrell Williams).dfpwm
7,Touch,Touch (feat. Paul Williams).dfpwm
8,Get Lucky,Get Lucky (feat. Pharrell Williams and Nile Rodgers).dfpwm
9,Beyond,Beyond.dfpwm
10,Motherboard,Motherboard.dfpwm
11,Fragments of Time,Fragments of Time (feat. Todd Edwards).dfpwm
12,Doin' it Right,Doin' it Right (feat. Panda Bear).dfpwm
13,Contact,Contact.dfpwm
