artist,albumName,folderLink
Eminem,The Death of Slim Shady,https://raw.githubusercontent.com/shirelyM/swampCraft/dev/musicCraft/eminem/theDeathOfSlimShady/
,,
trackNumber,title,fileName
1,Renaissance,Renaissance.dfpwm
2,Habits,Habits.dfpwm
3,Trouble,Trouble.dfpwm
4,Brand New Dance,Brand New Dance.dfpwm
5,Evil,Evil.dfpwm
6,All You Got,All You Got (skit).dfpwm
7,Lucifer,Lucifer.dfpwm
8,Antichrist,Antichrist.dfpwm
9,Fuel,Fuel.dfpwm
10,Road Rage,Road Rage.dfpwm
11,Houdini,Houdini.dfpwm
12,Breaking News,Breaking News (skit).dfpwm
13,Guilty Conscience 2,Guilty Conscience 2.dfpwm
14,Head Honcho,Head Honcho.dfpwm
15,Temporary,Temporary.dfpwm
16,Bad One,Bad One.dfpwm
17,Tobey,Tobey.dfpwm
18,Guess Who's Back,Guess Whos Back.dfpwm
19,Somebody Save Me,Somebody Save Me.dfpwm
