artist,albumName,folderLink
Daft Punk,Discovery,https://raw.githubusercontent.com/shirelyM/swampCraft/dev/musicCraft/music/daftPunk/discovery/
,,
trackNumber,title,fileName
1,One More Time,One More Time.dfpwm
2,Aerodynamic,Aerodynamic.dfpwm
3,Digital Love,Digital Love.dfpwm
4,"Harder Better Faster Stronger",harderBetterFasterStronger.dfpwm
5,Crescentdolls,Crescendolls.dfpwm
6,Nightvision,Nightvision.dfpwm
7,Superheroes,Superheroes.dfpwm
8,High Life,High Life.dfpwm
9,Something About Us,Something About Us.dfpwm
10,Voyager,Voyager.dfpwm
11,Veridis Quo,Veridis Quo.dfpwm
12,Short Circuit,Short Circuit.dfpwm
13,Face to Face,Face to Face.dfpwm
14,Too Long,Too Long.dfpwm
