artist,albumName,folderLink
The Dead South,Good Company,https://raw.githubusercontent.com/shirelyM/swampCraft/dev/musicCraft/deadSouth/goodCompany/
,,
trackNumber,title,fileName
1,Long Gone,Long Gone.dfpwm
2,Achilles,Achilles.dfpwm
3,The Recap,The Recap.dfpwm
4,In Hell I'll Be in Good Company,In Hell I'll Be in Good Company.dfpwm
5,Manly Way,Manly Way.dfpwm
6,Travellin' Man,Travellin' Man.dfpwm
7,Honey You,Honey You.dfpwm
8,Ballad For Janoski,Ballad For Janoski.dfpwm
9,Down That Road,Down That Road.dfpwm
10,The Dead South,The Dead South.dfpwm
11,That Bastard Son,That Bastard Son.dfpwm
12,Deep When the River's High,Deep When the River's High.dfpwm
13,Into the Valley,Into the Valley.dfpwm
