artist,albumName,folderLink
The Dead South,Sugar and Joy,https://raw.githubusercontent.com/shirelyM/swampCraft/dev/musicCraft/music/deadSouth/sugarAndJoy/
,,
trackNumber,title,fileName
1,Act of Approach,Act Of Approach.dfpwm
2,Diamond Ring,Diamond Ring.dfpwm
3,Blue Trash,Blue Trash.dfpwm
4,Black Lung,Black Lung.dfpwm
5,Fat Little Killer Boy,Fat Little Killer Boy.dfpwm
6,Broken Cowboy,Broken Cowboy.dfpwm
7,Snake Man Pt. 1,Snake Man Pt. 1.dfpwm
8,Snake Man Pt. 2,Snake Man Pt. 2.dfpwm
9,Heaven in a Wheelbarrow,Heaven In A Wheelbarrow.dfpwm
10,Crawdaddy Served Cold,Crawdaddy Served Cold.dfpwm
11,Alabama People,Alabama People.dfpwm
12,Spaghetti,Spaghetti.dfpwm
13,Distance Oneself,Distance Oneself.dfpwm
