artist,albumName,folderLink
Dr. Dre,The Chronic,https://raw.githubusercontent.com/shirelyM/swampCraft/dev/musicCraft/music/drDre/theChronic/
,,
trackNumber,title,fileName
1,The Chronic,The Chronic (Intro).dfpwm
2,Dre Day,Fuck Wit Dre Day (And Everybody's Celebratin').dfpwm
3,Let Me Ride,Let Me Ride.dfpwm
4,The Day the Niggaz Took Over,The Day The Niggaz Took Over.dfpwm
5,Nuthin' but a G Thang,Nuthin' But A G Thang.dfpwm
6,Deeez Nuuuts,Deeez Nuuuts.dfpwm
7,Lil' Ghetto Boy,Lil' Ghetto Boy.dfpwm
8,A Nigga Witta Gun,A Nigga Witta Gun.dfpwm
9,Rat-Tat-Tat-Tat,Rat-Tat-Tat-Tat.dfpwm
10,The $20 Sack Pyramid,The $20 Sack Pyramid.dfpwm
11,Lyical Gangbang,Lyrical Gangbang.dfpwm
12,High Powered,High Powered.dfpwm
13,The Doctor's Office,The Doctor's Office.dfpwm
14,Standed on Death Row,Stranded On Death Row.dfpwm
15,The Roach,The Roach (The Chronic Outro).dfpwm
16,Bitches Ain't Shit,Bitches Ain't Shit.dfpwm
