artist,albumName,folderLink
Eminem,The Slim Shady LP,https://raw.githubusercontent.com/shirelyM/swampCraft/dev/musicCraft/eminem/slimShadyLP/
,,
trackNumber,title,fileName
1,Public Service Announcement,Public Service Announcement.dfpwm
2,My Name Is,My Name Is.dfpwm
3,Guilty Conscience,Guilty Conscience.dfpwm
4,Brain Damage,Brain Damage.dfpwm
5,Paul,Paul (Skit).dfpwm
6,If I Had,If I Had.dfpwm
7,97 Bonnie & Clyde,'97 Bonnie & Clyde.dfpwm
8,Bitch,Bitch (Skit).dfpwm
9,Role Model,Role Model.dfpwm
10,Lounge,Lounge (Skit).dfpwm
11,My Fault,My Fault.dfpwm
12,Ken Kaniff,Ken Kaniff (Skit).dfpwm
13,Come on Everybody,Cum On Everybody.dfpwm
14,Rock Bottom,Rock Bottom.dfpwm
15,Just Don't Give a Fuck,Just Don't Give A Fuck.dfpwm
16,Soap,Soap (Skit).dfpwm
17,As the World Turns,As The World Turns.dfpwm
18,I'm Shady,I'm Shady.dfpwm
19,Bad Meets Evil,Bad Meets Evil.dfpwm
20,Still Don't Give a Fuck,Still Don't Give A Fuck.dfpwm
