artist,albumName,folderLink
Eminem,The Eminem Show,https://raw.githubusercontent.com/shirelyM/swampCraft/dev/musicCraft/eminem/theEminemShow/
,,
trackNumber,title,fileName
1,Curtains Up,Curtains Up (Skit).dfpwm
2,White America,White America.dfpwm
3,Business,Business.dfpwm
4,Cleanin' Out My Closet,Cleanin' Out My Closet.dfpwm
5,Square Dance,Square Dance.dfpwm
6,The Kiss,The Kiss (Skit).dfpwm
7,Soldier,Soldier.dfpwm
8,Say Goodbye Hollywood,Say Goodbye Hollywood.dfpwm
9,Drips,Drips.dfpwm
10,Without Me,Without Me.dfpwm
11,Paul Rosenberg,Paul Rosenberg (Skit).dfpwm
12,Sing for the Moment,Sing For The Moment.dfpwm
13,Superman,Superman.dfpwm
14,Hailie's Song,Hailie's Song.dfpwm
15,Steve Berman,Steve Berman (Skit).dfpwm
16,When the Music Stops,When The Music Stops.dfpwm
17,Say What You Say,Say What You Say.dfpwm
18,Till I Collapse,Till I Collapse.dfpwm
19,My Dad's Gone Crazy,My Dad's Gone Crazy.dfpwm
20,Curtains Close,Curtains Close.dfpwm
