artist,albumName,folderLink
Eminem,Marshall Mathers LP,https://raw.githubusercontent.com/shirelyM/swampCraft/dev/musicCraft/eminem/theMarshallMathersLP/
,,
trackNumber,title,fileName
1,Public Service Announcement,eminem_marshalMathersLP_publicServiceAnnouncement2000.dfpwm
2,Kill You,eminem_marshalMathersLP_killYou.dfpwm
3,Stan,eminem_marshalMathersLP_stan.dfpwm
4,Paul,eminem_marshalMathersLP_paul.dfpwm
5,Who Knew,eminem_marshalMathersLP_whoKnew.dfpwm
6,Steve Berman,eminem_marshalMathersLP_steveBerman.dfpwm
7,The Way I Am,eminem_marshalMathersLP_theWayIAm.dfpwm
8,The Real Slim Shady,eminem_marshalMathersLP_theRealSlimShady.dfpwm
9,Remember Me?,eminem_marshalMathersLP_rememberMe.dfpwm
10,I'm Back,eminem_marshalMathersLP_imBack.dfpwm
11,Marshall Mathers,eminem_marshalMathersLP_marshallMathers.dfpwm
12,Kan Kaniff,eminem_marshalMathersLP_kenKaniff.dfpwm
13,Drug Ballad,eminem_marshalMathersLP_drugBallad.dfpwm
14,Amityville,eminem_marshalMathersLP_amityville.dfpwm
15,Bitch Please II,eminem_marshalMathersLP_bitchPleaseII.dfpwm
16,Kim,eminem_marshalMathersLP_kim.dfpwm
17,Under the Influence,eminem_marshalMathersLP_underTheInfluence.dfpwm
18,Criminal,eminem_marshalMathersLP_criminal.dfpwm
