Artist,Album,Album Link
Daft Punk,Discovery,https://raw.githubusercontent.com/ShirelyM/swampCraft/refs/heads/dev/musicCraft/music/daftPunk/discovery/musicCodex.csv
Daft Punk,Random Access Memories,https://raw.githubusercontent.com/ShirelyM/swampCraft/refs/heads/dev/musicCraft/music/daftPunk/randomAccessMemories/musicCodex.csv
The Dead South ,Good Company,https://raw.githubusercontent.com/ShirelyM/swampCraft/refs/heads/dev/musicCraft/music/deadSouth/goodCompany/musicCodex.csv
The Dead South ,Sugar and Joy,https://raw.githubusercontent.com/ShirelyM/swampCraft/refs/heads/dev/musicCraft/music/deadSouth/sugarAndJoy/musicCodex.csv
Dr. Dre,The Chronic,https://raw.githubusercontent.com/ShirelyM/swampCraft/refs/heads/dev/musicCraft/music/drDre/theChronic/musicCodex.csv
Eminem,The Slim Shady LP,https://raw.githubusercontent.com/ShirelyM/swampCraft/refs/heads/dev/musicCraft/music/eminem/slimShadyLP/musicCodex.csv
Eminem,The Death of Slim Shady,https://raw.githubusercontent.com/ShirelyM/swampCraft/refs/heads/dev/musicCraft/music/eminem/theDeathOfSlimShady/musicCodex.csv
Eminem,The Eminem Show,https://raw.githubusercontent.com/ShirelyM/swampCraft/refs/heads/dev/musicCraft/music/eminem/theEminemShow/musicCodex.csv
Eminem,The Marshall Mathers LP,https://raw.githubusercontent.com/ShirelyM/swampCraft/refs/heads/dev/musicCraft/music/eminem/theMarshallMathersLP/musicCodex.csv
Muse,Absolution,https://raw.githubusercontent.com/ShirelyM/swampCraft/refs/heads/dev/musicCraft/music/muse/absolution/musicCodex.csv
Muse,Black Holes and Revelations,https://raw.githubusercontent.com/ShirelyM/swampCraft/refs/heads/dev/musicCraft/music/muse/blackHolesAndRevelations/musicCodex.csv
Muse,The 2nd Law,https://raw.githubusercontent.com/ShirelyM/swampCraft/refs/heads/dev/musicCraft/music/muse/the2ndLaw/musicCodex.csv
Muse,The Resistance,https://raw.githubusercontent.com/ShirelyM/swampCraft/refs/heads/dev/musicCraft/music/muse/theResistance/musicCodex.csv
Muse,Will of the People,https://raw.githubusercontent.com/ShirelyM/swampCraft/refs/heads/dev/musicCraft/music/muse/willOfThePeople/musicCodex.csv
Nirvana,Nevermind,https://raw.githubusercontent.com/ShirelyM/swampCraft/refs/heads/dev/musicCraft/music/nirvana/nevermind/musicCodex.csv
The Offspring,Americana,https://raw.githubusercontent.com/ShirelyM/swampCraft/refs/heads/dev/musicCraft/music/theOffspring/americana/musicCodex.csv
Tool,"10,000 Days",https://raw.githubusercontent.com/ShirelyM/swampCraft/refs/heads/dev/musicCraft/music/tool/10000Days/musicCodex.csv
Tool,Aenima,https://raw.githubusercontent.com/ShirelyM/swampCraft/refs/heads/dev/musicCraft/music/tool/aenima/musicCodex.csv
Tool,Lateralus,https://raw.githubusercontent.com/ShirelyM/swampCraft/refs/heads/dev/musicCraft/music/tool/lateralus/musicCodex.csv
