artist,albumName,folderLink
Muse,Absolution,https://raw.githubusercontent.com/shirelyM/swampCraft/dev/musicCraft/music/muse/absolution/
,,
trackNumber,title,fileName
1,Intro,Intro.dfpwm
2,Apocalypse Please,Apocalypse Please.dfpwm
3,Time is Running Out,Time Is Running Out.dfpwm
4,Sing for Absolution,Sing For Absolution.dfpwm
5,Stockholm Syndrome,Stockholm Syndrome.dfpwm
6,Falling Away with You,Falling Away with You.dfpwm
7,Interlude,Interlude.dfpwm
8,Hysteria,Hysteria.dfpwm
9,Blackout,Blackout.dfpwm
10,Butterflies & Hurricanes,Butterflies & Hurricanes.dfpwm
11,The Small Print,The Small Print.dfpwm
12,Fury,Fury.dfpwm
13,Endlessly,Endlessly.dfpwm
14,Thoughts of a Dying Atheist,Thoughts of a Dying Atheist.dfpwm
15,Ruled by Secrecy,Ruled by Secrecy.dfpwm
