artist,albumName,folderLink
Muse,Black Holes and Revelations,https://raw.githubusercontent.com/shirelyM/swampCraft/dev/musicCraft/muse/blackHolesAndRevelations/
,,
trackNumber,title,fileName
1,Take a Bow,Take a Bow.dfpwm
2,Starlight,Starlight.dfpwm
3,Supermassive Black Hole,Supermassive Black Hole.dfpwm
4,Map of Problematique,Map of the Problematique.dfpwm
5,Soldier's Poem,Soldier's Poem.dfpwm
6,Invincible,Invincible.dfpwm
7,Assassin,Assassin.dfpwm
8,Exo-Politics,Exo-Politics.dfpwm
9,City of Delusion,City of Delusion.dfpwm
10,Hoodoo,Hoodoo.dfpwm
11,Knights of Cydonia,Knights Of Cydonia.dfpwm
12,Glorious,Glorious.dfpwm
