artist,albumName,folderLink
Muse,The 2nd Law,https://raw.githubusercontent.com/shirelyM/swampCraft/dev/musicCraft/music/muse/the2ndLaw/
,,
trackNumber,title,fileName
1,Supremacy,Supremacy.dfpwm
2,Madness,Madness.dfpwm
3,Panic Station,Panic Station.dfpwm
4,Prelude,Prelude.dfpwm
5,Survival,Survival.dfpwm
6,Follow Me,Follow Me.dfpwm
7,Animals,Animals.dfpwm
8,Explorers,Explorers.dfpwm
9,Big Freeze,Big Freeze.dfpwm
10,Save Me,Save Me.dfpwm
11,Liquid State,Liquid State.dfpwm
12,The 2nd Law: Unsustainable,The 2nd Law (Unsustainable).dfpwm
13,The 2nd Law: Isolated System,The 2nd Law (Isolated System).dfpwm
