artist,albumName,folderLink
Muse,The Resistance,https://raw.githubusercontent.com/shirelyM/swampCraft/dev/musicCraft/muse/theResistance/
,,
trackNumber,title,fileName
1,Uprising,Uprising.dfpwm
2,Resistance,Resistance.dfpwm
3,Undisclosed Desires,Undisclosed Desires.dfpwm
4,United States of Eurasia,United States of Eurasia (+Collateral Damage).dfpwm
5,Guiding Light,Guiding Light.dfpwm
6,Unnatural Selection,Unnatural Selection.dfpwm
7,MK Ultra,MK Ultra.dfpwm
8,I Belong to You,I Belong to You (+Mon Coeur S'Ouvre a Ta Voix).dfpwm
9,Exogenesis Symphony Pt. 1,Exogenesis Symphony Pt. 1 (Overture).dfpwm
10,Exogenesis Symphony Pt. 2,Exogenesis Symphony Pt. 2 (Cross-pollination).dfpwm
11,Exogenesis Symphony Pt. 3,Exogenesis Symphony Pt. 3 (Redemption).dfpwm
