artist,albumName,folderLink
Muse,Will of the People,https://raw.githubusercontent.com/shirelyM/swampCraft/dev/musicCraft/music/muse/willOfThePeople/
,,
trackNumber,title,fileName
1,Will of the People,Will of the People.dfpwm
2,Compliance,Compliance.dfpwm
3,Liberation,Liberation.dfpwm
4,Won't Stand Down,Won't Stand Down.dfpwm
5,Ghosts,Ghosts (How Can I Move On).dfpwm
6,You Make Me Feel Like It's Halloween,You Make Me Feel Like It's Halloween.dfpwm
7,Kill or Be Killed,Kill or Be Killed.dfpwm
8,Verona,Verona.dfpwm
9,Euphoria,Euphoria.dfpwm
10,We Are Fucking Fucked,We are Fucking Fucked.dfpwm
