artist,albumName,folderLink
Nirvana,Nevermind,https://raw.githubusercontent.com/shirelyM/swampCraft/dev/musicCraft/nirvana/nevermind/
,,
trackNumber,title,fileName
1,Smells Like Teen Spirit,nirvana_nevermind_smellsLikeTeenSpirit.dfpwm
2,In Bloom,nirvana_nevermind_inBloom.dfpwm
3,Come as You Are,nirvana_nevermind_comeAsYouAre.dfpwm
4,Breed,nirvana_nevermind_breed.dfpwm
5,Lithium,nirvana_nevermind_lithium.dfpwm
6,Polly,nirvana_nevermind_Polly.dfpwm
7,Terriotorial Pissings,nirvana_nevermind_territorialPissings.dfpwm
8,Drain You,nirvana_nevermind_drainYou.dfpwm
9,Lounge Act,nirvana_nevermind_loungeAct.dfpwm
10,Stay Away,nirvana_nevermind_stayAway.dfpwm
11,On a Plain,nirvana_nevermind_onAPlain.dfpwm
12,Something in the Way,nirvana_nevermind_somethingInTheWay.dfpwm
