artist,albumName,folderLink
The Offspring,Americana,https://raw.githubusercontent.com/shirelyM/swampCraft/dev/musicCraft/music/theOffspring/americana/
,,
trackNumber,title,fileName
1,Welcome,theOffpspring_americana_welcome.dfpwm
2,Have You Ever,theOffpspring_americana_haveYouEver.dfpwm
3,Staring at the Sun,theOffpspring_americana_staringAtTheSun.dfpwm
4,Pretty Fly,theOffpspring_americana_prettyFly.dfpwm
5,The Kids Aren't Alright,theOffpspring_americana_theKidsArentAlright.dfpwm
6,Feelings,theOffpspring_americana_feelings.dfpwm
7,She's Got Issues,theOffpspring_americana_shesGotIssues.dfpwm
8,Walla Walla,theOffpspring_americana_wallaWalla.dfpwm
9,The End of the Line,theOffpspring_americana_theEndOfTheLine.dfpwm
10,No Brakes,theOffpspring_americana_noBrakes.dfpwm
11,Why Don't You Get a Job?,theOffpspring_americana_whyDontYouGetAJob.dfpwm
12,Americana,theOffpspring_americana_americana.dfpwm
13,Pay the Man,theOffpspring_americana_payTheMan.dfpwm
