artist,albumName,folderLink
Tool,Lateralus,https://raw.githubusercontent.com/shirelyM/swampCraft/dev/musicCraft/music/tool/lateralus/
,,
trackNumber,title,fileName
1,The Grudge,The Grudge.dfpwm
2,Eon Blue Apocalypse,Eon Blue Apocalypse.dfpwm
3,The Patient,The Patient.dfpwm
4,Mantra,Mantra.dfpwm
5,Schism,Schism.dfpwm
6,Parabol,Parabol.dfpwm
7,Parabola,Parabola.dfpwm
8,Ticks & Leeches,Ticks & Leeches.dfpwm
9,Lateralus,Lateralus.dfpwm
10,Disposition,Disposition.dfpwm
11,Reflection,Reflection.dfpwm
12,Triad,Triad.dfpwm
13,Faaip de Oiad,Faaip De Oiad.dfpwm
