artist,albumName,folderLink
Tool,10000 Days,https://raw.githubusercontent.com/shirelyM/swampCraft/dev/musicCraft/tool/10000Days/
,,
trackNumber,title,fileName
1,Vicarious,tool_vicarious.dfpwm
2,Jambi,tool_jambi.dfpwm
3,Wings For Marie,tool_wingsForMarie.dfpwm
4,10000 Days,tool_10000Days.dfpwm
5,The Pot,tool_thePot.dfpwm
6,Lipan Conjuring,tool_lipanConjuring.dfpwm
7,Lost Keys,tool_lostKeys.dfpwm
8,Rosetta Stoned,tool_rosettaStoned.dfpwm
9,Intension,tool_intension.dfpwm
10,Right in Two,tool_rightInTwo.dfpwm
11,Viginti Tres,tool_vigintiTres.dfpwm
