artist,albumName,folderLink
Tool,Aenima,https://raw.githubusercontent.com/shirelyM/swampCraft/dev/musicCraft/tool/aenima/
,,
trackNumber,title,fileName
1,Stinkfist,Stinkfist.dfpwm
2,Eulogy,Eulogy.dfpwm
3,H.,H. .dfpwm
4,Useful Idiot,Useful Idiot.dfpwm
5,Forty Six & 2,Forty Six & 2.dfpwm
6,Message to Harry Manback,Message To Harry Manback.dfpwm
7,Hooker With a Penis,Hooker With A Penis.dfpwm
8,Intermission,Intermission.dfpwm
9,Jimmy,Jimmy.dfpwm
10,Die Eier von Satan,Die Eier von Satan.dfpwm
11,Pushit,Pushit.dfpwm
12,Cesaro Summability,Cesaro Summability.dfpwm
13,Aenema,aenema.dfpwm
14,(-) Ions,(-) Ions.dfpwm
15,Third Eye,Third Eye.dfpwm
